"ID","Northing","Easting","Elevation","Code","Source_file","Source_row"
"A1",2111862.529,277144.357,8.266,"S","1 KURLA LV.csv",1
"D5",2112704.977,277751.545,13.106,"ST","28 RTK.csv",1
"D7",2111304.661,277515.973,5.501,"ST","28 RTK.csv",17
"D5",2112704.977,277751.545,13.106,"ST","F-2.csv",1
"D7",2111304.661,277515.973,5.501,"ST","F-2.csv",54
"D5",2112704.977,277751.545,13.106,"ST","F1.csv",1
"D7",2111304.661,277515.973,5.501,"ST","F1.csv",10
"A1",2111862.529,277144.357,8.266,"S","job1 kur.csv",1
"C2",2111427.669,277183.332,5.687,"BZSE","K-3.csv",1
"D2",2111562.95,278286.745,12.089,"ST","K-3.csv",134
"C2",2111427.669,277183.332,5.687,"BZSE","K-4.csv",1
"D2",2111562.95,278286.745,12.089,"ST","K-4.csv",43
"Z1",2111862.529,277144.357,8.266,"BASE","k1.csv",1
"C2",2111427.669,277183.332,5.687,"BZSE","k2 26826.csv",1
"D2",2111562.95,278286.745,12.089,"ST","k2 26826.csv",100
"C2",2111427.669,277183.332,5.687,"BZSE","k5.csv",1
"A1",2111862.529,277144.357,8.266,"S","kurla01 rtk.csv",1
"A1",2111862.529,277144.357,8.266,"ST","LV 4.csv",1
"Z1",2111862.529,277144.357,8.266,"BASE","LV 4.csv",143
"A1",2111862.529,277144.357,8.266,"ST","LV3.csv",1
"Z1",2111862.529,277144.357,8.266,"BASE","LV3.csv",147
"D6",2111815.09,277733.116,10.487,"ST","sak-ak.csv",1
"D5",2112704.977,277751.545,13.106,"ST","sak-ak.csv",62
"D16",2112570.893,278456.868,25.596,"ST","sak-ak.csv",93
"A1",2111862.529,277144.357,8.266,"ST","sak-ak.csv",94
"C1",2112044.896,277110.565,10.729,"ST","sak-ak.csv",96
"D5",2112704.977,277751.545,13.106,"ST","SAKI NAKA 2.csv",1
"D5",2112704.977,277751.545,13.106,"ST","SAKI NAKA 4.csv",1
"D6",2111815.09,277733.116,10.487,"ST","SAKI NAKA.csv",1
"D5",2112704.977,277751.545,13.106,"ST","SAKI NAKA.csv",52
"D16",2112570.893,278456.868,25.596,"ST","SAKI NAKA.csv",162
"A1",2111862.529,277144.357,8.266,"ST","SAKI NAKA.csv",187
"C1",2112044.896,277110.565,10.729,"ST","SAKI NAKA.csv",199
