Code,records,percent
FT,304,45.103857566765576
LV,271,40.20771513353116
CH,33,4.896142433234421
ROAD LV,8,1.1869436201780414
CHTOP,7,1.0385756676557865
NALA,7,1.0385756676557865
CW,5,0.7418397626112759
TOP,5,0.7418397626112759
ST,4,0.5934718100890207
CH TOP,3,0.44510385756676557
NALA+BRIDGE,3,0.44510385756676557
S,3,0.44510385756676557
BED,2,0.29673590504451036
NAKI TOP LV,2,0.29673590504451036
NALI,2,0.29673590504451036
NALI TOP,2,0.29673590504451036
(missing),1,0.14836795252225518
BASE,1,0.14836795252225518
BASELV,1,0.14836795252225518
CH TOP LV,1,0.14836795252225518
DIV,1,0.14836795252225518
FT KH,1,0.14836795252225518
FT MATCH,1,0.14836795252225518
FT+OTLA,1,0.14836795252225518
LV END,1,0.14836795252225518
NALA BL,1,0.14836795252225518
NALI BED LV,1,0.14836795252225518
NALI BEDLV,1,0.14836795252225518
NB,1,0.14836795252225518
